Description,Subject,sentiment,tag
The appearance of this app is very pleasing. Easy to access the catalogue and browse around the dresses. Very user friendly app.,,2,['']
Nuclear the application to download printing close online has never been so easy with this application it is totally cool,,2,['Nuclear the application to download printing close online has never been so easy with this application it is totally cool']
it is totally great app for renting cloth online you should definitely buy this application it is really fun to uses application for the purposes of women shopping,,2,['it is totally great app for renting cloth online you should definitely buy this application it is really fun to uses application for the purposes of women shopping']
Good application great services are provided all the women shopping experiences,,2,['Good application great services are provided all the women shopping experiences']
Without this application it would be so much difficult to friend cloth online this application makes it so much easier tried to find great products,Awesome,2,['Without this application it would be so much difficult to friend cloth online this application makes it so much easier tried to find great products']
Cool and fun place to get all the clothes and online shopping sperian ssas applications that you go home for,,2,['Cool and fun place to get all the clothes and online shopping sperian ssas applications that you go home for']
Amazing application Amazing nature I love to use my application again and again for all the great services that they offer,,2,['Amazing application Amazing nature I love to use my application again and again for all the great services that they offer']
Full application with full services I totally recommend renting online Fashion is really create in this application,,2,['Full application with full services I totally recommend renting online Fashion is really create in this application']
Simple to uses application I love it they have a great collection kudos to the application development team,,2,['Simple to uses application I love it they have a great collection kudos to the application development team']
Amazing and awesome uses application I have been using it for the past couple of weeks and it is totally awesome to use,Nice,2,['Amazing and awesome uses application I have been using it for the past couple of weeks and it is totally awesome to use']
Great to use I was totally impressed once you get this application you will also be using this application and not going back to another application like Myntra Great to use I was totally impressed once you get this application you will also be using this application and not going back to another application like Myntra,,2,['Great to use I was totally impressed once you get this application you will also be using this application and not going back to another application like Myntra Great to use I was totally impressed once you get this application you will also be using this application and not going back to another application like Myntra']
"Didnt use garbage collection and give a accurate description of whatever clothes they are providing better for women shopping and also they have released update for men shopping , its impressed me when the occasion of my hasaband birthday I want to give a surprised party to him but I didnât having time to visit the shop at that time this application does help to me cause of their range of the men shopping , i can did well dress up to my family members on the basis of rent they also got happy cause their pr",,2,"['Didnt use garbage collection and give a accurate description of whatever clothes they are providing better for women shopping and also they have released update for men shopping , its impressed me when the occasion of my hasaband birthday I want to give a surprised party to him but I didnâ\x80\x99t having time to visit the shop at that time this application does help to me cause of their range of the men shopping , i can did well dress up to my family members on the basis of rent they also got happy cause their pr']"
All the clothes and services are really good they have exclusive stuff for people who would like to shop online frequently,,2,['All the clothes and services are really good they have exclusive stuff for people who would like to shop online frequently']
I found it very enjoyable to get frontal closer services are really good they have a great collection of clothes and everything is available so easily hear,I found it very enjoyable to get frontal closer services are really good they have a great collection of clothes and everything is available so easily hear,2,['I found it very enjoyable to get frontal closer services are really good they have a great collection of clothes and everything is available so easily hear']
The great brands and Deals And discounts available for renting clothes which is really cheaper than buying clothes in he time of the year,,2,['The great brands and Deals And discounts available for renting clothes which is really cheaper than buying clothes in he time of the year']
Renting clothes has helped me to save a lot of time with I would otherwise have spend on trying to look for clothes that I don't worry really too much better for all the services,,2,"[""Renting clothes has helped me to save a lot of time with I would otherwise have spend on trying to look for clothes that I don't worry really too much better for all the services""]"
Amazingly cool application with grid services using this application for quite a long. of time now have any complaints on issues with add,,2,"['Amazingly cool application with grid services using this application for quite a long', ' of time now have any complaints on issues with add']"
painting cloth has been so much fun and it helps way to save a lot of money to one of the best applications that I found online for getting all the flowers that I want,,2,['painting cloth has been so much fun and it helps way to save a lot of money to one of the best applications that I found online for getting all the flowers that I want']
Grid application to services are really interesting and everything is provided with In A Metro menards I totally love shopping from this application now,,2,['Grid application to services are really interesting and everything is provided with In A Metro menards I totally love shopping from this application now']
Make that amazingly simple to use any kind of clothes are available on the daily fashion where is available so easily New York,,2,['Make that amazingly simple to use any kind of clothes are available on the daily fashion where is available so easily New York']
But hi acha app hai bhaiya log. Jaror down Los kariye ga nice good app all sub.my first app to is app ko jaroor use kariye ga,Nice,2,['my first app to is app ko jaroor use kariye ga']
Painting is a great idea I never thought I would use run to close but this was an application that changed my viewpoint totally great application,,2,['Painting is a great idea I never thought I would use run to close but this was an application that changed my viewpoint totally great application']
Happy that I found this application I generally use a lot of money while buying so many clothes from this application flyrobe helps me to rent clothes online so easily,Nice,2,['Happy that I found this application I generally use a lot of money while buying so many clothes from this application flyrobe helps me to rent clothes online so easily']
The base of this application is really cool better for women shopping everything is available for rental services at great prices in,,2,['The base of this application is really cool better for women shopping everything is available for rental services at great prices in']
