Review Text,Review Title,Star Rating,negative,neutral,positive
This is a brilliant concept,Great product!,5,0.0,0.441,0.559
 Please start for men's asap,Great product!,5,0.0,0.635,0.365
Brilliant concept :),,5,0.0,0.128,0.872
Brilliant stuff!! Waiting to see more,,5,0.0,0.533,0.467
This idea will be considered as one of the top notch idea in near future,Excellent,5,0.0,0.886,0.114
the name itself saying how cool and thoughtful people are connected with,Excellent,5,0.0,0.671,0.329
feeling honored to be aware about it from its childhood,Excellent,5,0.0,0.602,0.398
God bless you prosperity and endless success in your journey ahead,Excellent,5,0.0,0.482,0.518
and for it's future users fasten your seat belt to get some awesome stuff ever happened,Excellent,5,0.0,0.785,0.215
No spending on buying apparels for gf,Brilliant ..this is what we needed!!,5,0.268,0.732,0.0
 Why to buy if u can rent it,Brilliant ..this is what we needed!!,5,0.0,1.0,0.0
!!!,Brilliant ..this is what we needed!!,5,0.0,1.0,0.0
Brilliant idea!! Adorably splendid dresses at such reasonable expenses,,5,0.0,0.347,0.653
its everything a girl could ever desire for (especially the ones like me who hates going on shopping for every lil thing!) Dress,,5,0.106,0.694,0.2
jwellery,,5,0.0,1.0,0.0
accessories,,5,0.0,1.0,0.0
 shoes,,5,0.0,1.0,0.0
you name it and they have it!! Loving it already,,5,0.0,0.667,0.333
The whole concept looks great,Awesome app.,5,0.0,0.494,0.506
 Something to recommend to all your friends,Awesome app.,5,0.0,0.472,0.528
Nice UI! Loved the clothes,Looks like tinder for clothes!,5,0.0,0.3,0.7
 When are you starting men's??!,Looks like tinder for clothes!,5,0.0,1.0,0.0
Reserving a spot on my phone's home screen for this one!,,5,0.0,1.0,0.0
Waiting for you guys to go live!,Sounds really exciting,5,0.0,1.0,0.0
This is gonna be one of the best in the market,This app is gonna rock,5,0.0,0.704,0.296
 !,This app is gonna rock,5,0.0,0.0,0.0
Can't wait to see more!!,Awesome stuff!!,5,0.0,1.0,0.0
Something that I wanted always!! Why spend on clothing when I can spend on partying,Can't wait!!!,5,0.0,0.79,0.21
bring on the sexy dresses!!!!!!,Can't wait!!!,5,0.0,0.467,0.533
I would love to try out!,Brilliant!,5,0.0,0.471,0.529
Great concept !!,,5,0.0,0.299,0.701
Can't wait to get started with FlyRobe !!,,5,0.0,1.0,0.0
A must app to suggest your girl friend !,,5,0.0,0.632,0.368
Be fabulous at your fingertips now!,Refreshing concept,5,0.0,0.575,0.425
Please send me an invite to try this @ arjunkw3 (at) gmail (dot) com,Need an invite.,5,0.0,0.738,0.262
One amazing destination!!!,,5,0.0,0.3,0.7
What's the access code???I am stuck there!!,Great!!,3,0.342,0.658,0.0
"Nice App, Best destination fashion lovers",,5,0.0,0.224,0.776
Stuck in access code,Access code,2,0.4,0.6,0.0
Quickly send or give an invite code,NEED AN iNVITE,3,0.0,0.789,0.211
com,NEED AN iNVITE,3,0.0,1.0,0.0
How to get dat,Access code,4,0.0,1.0,0.0
good one,,5,0.0,0.256,0.744
Enjoyed a lot,A very good one,4,0.0,0.233,0.767
😃😃😃,Loved it 😄😄,5,0.0,1.0,0.0
Amazing was waiting for this only!!,,5,0.0,0.533,0.467
This is so awesome!,,5,0.0,0.352,0.648
I just love it😘,,5,0.0,0.323,0.677
com,Invite me,5,0.0,1.0,0.0
